cutoff,n_approved,volume_pct,bad_rate,revenue_per_1000,loss_per_1000,net_profit_per_1000
A,82670,0.2488104231312131,0.0542881335430023,315467.6823265871,70883.33553484234,244584.34679174476
A-B,192670,0.5798754593527378,0.09118181346343489,799625.6237578794,255833.93910971464,543791.6846481648
A-C,282630,0.8506264653389956,0.12431801294979301,1252545.913702178,509036.1012456681,743509.81245651
A-D,319556,0.9617619883164139,0.14064827448084216,1466496.2737724348,665550.0698095649,800946.20396287
A-E,330304,0.9941100520374043,0.1468768165084286,1532122.4793596934,726326.2592432006,805796.2201164927
A-F,331952,0.9990700082164322,0.1482443244806478,1540679.691211603,736600.9430351591,804078.748176444
A-G,332261,1.0,0.14853383334186077,1542181.0668935354,738673.6481188136,803507.4187747218
