cutoff,n_approved,volume_pct,bad_rate,revenue_per_1000,loss_per_1000,net_profit_per_1000
A,23522,0.21234608023688298,0.0551823824504719,270532.18451517314,58219.7458954154,212312.43861975777
A-B,59404,0.5362727042935038,0.09021278028415596,814035.6580933419,229719.44369467944,584316.2143986624
A-C,89073,0.8041111472213195,0.12258484613743784,1390878.325478848,465703.1298762091,925175.1956026389
A-D,103368,0.933160004333225,0.13856319170342854,1719567.6858553065,621587.0912520909,1097980.5946032156
A-E,108738,0.9816379590510237,0.14678401294855525,1889849.4016372634,704621.1871661064,1185228.214471157
A-F,110430,0.9969125771855704,0.1497509734673549,1963146.586888658,737436.3534117131,1225710.233476945
A-G,110772,1.0,0.15048929332322247,1977866.1090857384,745283.3728910828,1232582.7361946558
